,Year,Day,Month,Rates
815,2017,2,Nov,0.5
816,2018,2,Aug ,0.75
817,2020,11,Mar,0.25
818,2021,19,Mar,0.1
819,2021,16,Dec,0.25
820,2022,3,Feb,0.5
821,2022,17,Mar,0.75
822,2022,5,May,1.0
823,2022,16,Jun,1.25
824,2022,4,Aug,1.75
825,2022,22,Sep,2.25
826,2022,3,Nov,3.0
827,2022,15,Dec,3.5
828,2023,2,Feb,4.0
829,2023,23,Mar,4.25
830,2023,11,May,4.5
831,2023,22,Jun,5.0
832,2023,3,Aug,5.25
